libopenshot-audio 0.1.8-3
liborcus 0.14.1-6
libotr 4.1.1-2
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-1
libpeas 1.24.1-2
libpgm 5.2.122-5
libpipeline 1.5.2-1
libplacebo 1.29.1-1
libplist 2.1.0-2
libpng 1.6.37-1
libproxy 0.4.15-13
libpsl 0.21.0-2
libpulse 13.0-3
libqalculate 3.7.0-1
libquicktime 1.2.4-21
libqxp 0.0.2-3
libraqm 0.7.0-1
libraw 0.19.5-2
libraw1394 2.1.2-2
libreoffice-fresh 6.3.4-3
librevenge 0.0.4-2
librsvg 2:2.46.4-1
libsamplerate 0.1.9-3
libsasl 2.1.27-2
libseccomp 2.4.1-3
libsecret 0.20.0-1
libsigc++ 2.10.2-1
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.68.3-1
libsoxr 0.1.3-1
libspiro 1:20190731-1
libssh 0.9.3-1
libssh2 1.9.0-2
libstaroffice 0.0.6-1
libstemmer 0+713-1
libsynctex 2019.51075-5
libtar 1.2.20-4
libtasn1 4.15.0-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.2.5-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-8
libuninameslist 20190701-1
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
liburcu 0.11.0-1
libusb 1.0.23-2
libusb-compat 0.1.5-2
libusbmuxd 2.0.0-2
libutil-linux 2.35-1
libuv 1.34.2-1
libva 2.6.1-1
libvdpau 1.3-1
libvisio 0.1.7-2
libvisual 0.4.0-7
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libwacom 1.2-1
libwbclient 4.10.10-2
libwebp 1.1.0-1
libwmf 0.2.12-1
libwpd 0.10.3-1
libwpe 1.4.0.1-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmu 1.1.3-1
libxnvctrl 440.44-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxvmc 1.0.12-2
libxxf86vm 1.1.4-3
libyaml 0.2.2-1
libzip 1.5.2-2
libzmf 0.0.2-7
licenses 20191011-2
lightdm 1:1.30.0-2
lightdm-gtk-greeter 1:2.0.7-1
lilv 0.24.6-2
linux 5.4.15.arch1-1
linux-api-headers 5.3.1-2
linux-firmware 20191220.6871bff-1
lirc 1:0.10.1-4
llvm-libs 9.0.1-1
lm_sensors 3.6.0-1
lmdb 0.9.24-1
lolcat 100.0.0-2
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lshw B.02.18-3
lsof 4.93.2-1
lua 5.3.5-2
lua52 5.2.4-4
luajit 2.0.5-2
lvm2 2.02.186-5
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.48+14+g5811758-1
make 4.2.1-4
man-db 2.9.0-1
mbedtls 2.16.3-1
md4c 0.4.2-1
mdadm 4.1-2
media-player-info 24-1
mesa 19.3.2-2
metis 5.1.0.p7-1
micro 1.4.1-2
minecraft-launcher 2.1.7658-2
miniupnpc 2.1.20190408-1
minizip 1:1.2.11-4
mkinitcpio 27-2
mkinitcpio-busybox 1.31.1-1
mlt 6.18.0-3
mobile-broadband-provider-info 20190618-1
mono 6.4.0.198-1
mozilla-common 1.4-5
mpfr 4.0.2-2
mpg123 1.25.13-1
mplayer 38157-1
mpv 1:0.32.0-1
mtdev 1.1.5-2
mtools 4.0.23-1
mujs 1.0.6-1
myman 0.7.0-6
mypaint-brushes1 1.3.0-1
nano 4.7-1
nasm 2.14.02-1
ncurses 6.1-7
ndctl 67-1
neofetch 6.1.0-1
neon 0.30.2-3
net-snmp 5.8-4
net-tools 1.60.20181103git-2
netctl 1.20-2
nettle 3.5.1-2
nm-connection-editor 1.8.24-1
nmap 7.80-1
node-gyp 6.1.0-1
nodejs 13.7.0-1
noto-fonts 20190926-4
noto-fonts-emoji 20191016-1
npm 6.13.6-1
npth 1.6-2
nspr 4.24-1
nss 3.49.2-2
nss-mdns 0.14.1-2
ntp 4.2.8.p13-2
numactl 2.0.13-1
nvidia 440.44-15
nvidia-settings 440.44-1
nvidia-utils 440.44-3
obs-studio 24.0.5-2
oniguruma 6.9.4-1
openal 1.20.1-1
opencore-amr 0.1.5-3
openexr 2.4.0-7
openjpeg2 2.3.1-1
openmpi 4.0.2-3
openshot 2.4.4-4
openssh 8.1p1-2
openssl 1.1.1.d-2
